Date,Adj Close,Close,High,Low,Open,Volume
2014-06-20,453.25,453.25,453.75,447.25,447.25,117242.0
2014-06-23,444.5,444.5,452.5,444.0,452.25,112310.0
2014-06-24,443.0,443.0,443.25,439.5,442.75,113223.0
2014-06-25,441.0,441.0,443.0,440.25,441.0,108660.0
2014-06-26,442.75,442.75,444.75,442.5,442.75,135829.0
2014-06-27,443.0,443.0,444.25,440.75,440.75,121751.0
2014-06-30,424.25,424.25,440.25,423.0,439.75,111681.0
2014-07-01,422.75,422.75,423.5,420.0,420.0,32988.0
2014-07-02,418.5,418.5,420.25,417.75,420.0,9735.0
2014-07-07,409.25,409.25,412.0,408.75,412.0,3041.0
2014-07-08,408.25,408.25,408.5,408.5,408.5,2821.0
2014-07-09,404.0,404.0,407.25,404.0,407.25,3811.0
2014-07-10,400.5,400.5,400.75,400.75,400.75,3041.0
2014-07-11,399.75,399.75,399.75,399.75,399.75,2865.0
2014-07-14,390.25,390.25,390.25,390.25,390.25,1990.0
2014-07-15,374.0,374.0,377.75,373.5,377.75,63853.0
2014-07-16,378.25,378.25,382.75,376.5,380.75,104821.0
2014-07-17,379.5,379.5,387.0,376.75,377.5,87367.0
2014-07-18,371.25,371.25,379.25,370.0,379.0,99242.0
2014-07-21,364.0,364.0,365.75,364.0,365.75,63661.0
2014-07-22,360.25,360.25,366.75,359.75,366.75,80268.0
2014-07-23,362.5,362.5,363.5,359.25,360.75,56738.0
2014-07-24,361.5,361.5,368.25,357.0,368.25,59923.0
2014-07-25,363.0,363.0,363.5,357.75,359.0,80591.0
2014-07-28,367.75,367.75,368.25,364.0,366.0,76154.0
2014-07-29,361.5,361.5,365.25,358.75,365.25,62888.0
2014-07-30,361.75,361.75,364.0,359.0,359.0,76338.0
2014-07-31,357.0,357.0,361.25,356.75,360.0,78868.0
2014-08-01,352.5,352.5,357.5,351.5,355.25,68927.0
2014-08-04,358.75,358.75,359.75,355.25,356.25,73337.0
2014-08-05,356.25,356.25,356.75,354.75,355.0,75699.0
2014-08-06,363.25,363.25,363.75,356.25,356.25,65793.0
